cshom,prccm,tic
1254000.0,7.75,FAME
1859000.0,23.0,BDL
58209000.0,12.64,MALJF
58209000.0,16.3,MAL.
7894000.0,17.06,FLXS
211460000.0,23.27,FLO
139927000.0,33.69,FLR
6357000.0,21.51,FONR
3918694000.0,10.23,F
,0.0001,PVEN
10581000.0,27.34,FSTR
,0.0,FMNJ
46406000.0,47.5,FELE
507560000.0,34.8,BEN
8730000.0,11.39,FEIM
7009000.0,6.96,FRD
514626000.0,50.705,FUJIY
50918000.0,46.4,FUL
36200000.0,79.29,GATX
185252000.0,87.59,AJG
216350000.0,15.15,TGNA
377972000.0,17.97,GPS
78654000.0,44.77,AJRD
25495000.0,35.49,GAM
3526000.0,0.0107,GNRD
288872000.0,181.82,GD
8720808000.0,10.5,GE
12055000.0,0.7886,JOB
598791000.0,52.52,GIS
397159000.0,30.99,ALLY
1418393000.0,38.53,GM
,,GMM.U
43867000.0,33.02,SPXC
16534000.0,42.29,GCO
255582000.0,24.61,GNTX
146064000.0,103.58,GPC
1573000.0,0.027,BOTX
40995000.0,30.76,GTY
10000.0,384.0,GGLT
11361000.0,0.31,GIGA
44058000.0,16.88,GLT
4987960000.0,40.02,GSK
315493000.0,0.0195,WSRC
99395000.0,1.85,GDRZF
99395000.0,2.35,GRZ.
24523000.0,2.3,GV.2
581000.0,152.0,GWOX
232471000.0,15.3,GT
26124000.0,32.83,GRC
1056000.0,627.04,GDVTZ
66914000.0,76.11,GRA
166518000.0,50.18,GGG
9881000.0,20.21,GHM
55444000.0,268.23,GWW
6881000.0,15.45,GTN.A
94273000.0,16.39,GTN
13650000.0,9.25,ECF.UN
6360000.0,14.33,JFS.UN
12628000.0,0.2004,PXFG
6000.0,15.5,ALSE
26267000.0,32.55,GEF
22008000.0,43.65,GEF.B
56391000.0,2.47,MGI
1483000.0,19.1,GYRO
1013000.0,13.17,HMG
873978000.0,22.74,HAL
11647000.0,14.3668,JHS
391000.0,6.5,HKNI
169410000.0,0.12,AXRX
118126000.0,189.13,LHX
80190000.0,27.44,NVRI
125854000.0,105.68,HAS
9607000.0,37.9,ALNT
18814000.0,17.03,HVT
1757000.0,17.05,HVT.A
108937000.0,43.55,HE
10625000.0,43.41,HWKN
74074000.0,30.32,HCSG
404941000.0,81.53,WELL
12331000.0,0.0021,HCLC
26416000.0,13.42,STRL
486232000.0,1.8,HL
53807000.0,133.81,HEI
80034000.0,103.37,HEI.A
1219939000.0,31.04,KHC
25014000.0,130.59,HELE
110510000.0,50.62,HP
89883000.0,0.0994,HMENF
89883000.0,0.125,HME.
148186000.0,134.03,HSY
,,4741B
84144000.0,15.96,HTZGQ
1506292000.0,20.79,HPQ
84888000.0,80.88,HXL
2159000.0,18.0,CRAWA
66773000.0,104.62,HRC
291063000.0,97.74,HLT
967280000.0,73.306,HTHIY
170765000.0,46.28,DINO
269000.0,58.0,HOOB
349000.0,9.5,HMTC
1100286000.0,207.97,HD
15500000.0,38.39,HOFD
43339000.0,35.38,HNI
1811428000.0,25.84,HMC
533845000.0,40.54,HRL
502174000.0,28.63,CNP
5316000.0,7.6,HOV
623000.0,12.5,HOVVB
9962000.0,17.1,UBP
29901000.0,21.0,UBA
54509000.0,130.4,HUBB
184123000.0,7.29,HBAYF
184123000.0,9.6,HBC.
108739000.0,91.41,JBHT
1046440000.0,13.82,HBAN
6767000.0,35.56,HURC
26549000.0,2.58,HBP
4772000.0,1.2,HYDI
10313000.0,6.28,IEC
78380000.0,4.91,BBX
19385000.0,4.39,BBXTB
87800000.0,65.48,ITT
129636000.0,30.3,RYN
50385000.0,100.43,IDA
325775000.0,150.81,ITW
53850000.0,0.6301,TLGTQ
191537000.0,13.87,IMMU
764222000.0,27.67,IMO
764222000.0,36.26,IMO.
2323000.0,17.0,IEHC
3000.0,610.0,INFG
241158000.0,126.67,TT
3303000.0,0.056,ISOL
,0.25,INTO
37784000.0,8.33,RYI
52207000.0,0.0047,WGEI
31343000.0,18.4,AEGN
46801000.0,16.92,GFF
4477000000.0,47.87,INTC
8851000.0,28.79,CCRD
2759542000.0,0.0007,DEWM
19000.0,0.01,OBLR
13632000.0,1.84,INRD
242899000.0,0.0001,SMAA
40000000.0,0.009,ITDN
59988000.0,15.33,TILE
2548778000.0,0.0001,PSWS
886643000.0,137.9,IBM
106691000.0,145.09,IFF
16500000.0,53.82,IFFT
99148000.0,34.45,NAV
31724000.0,64.4,IDCC
397334000.0,43.32,IP
19625000.0,45.05,ISCB.1
23856000.0,44.89,ISCA
2023710000.0,36.08,ENB
2023710000.0,47.3,ENB.
387039000.0,22.59,IPG
33759000.0,5.19,IVCRQ
,0.06,IOMT
2718000.0,118.5,ISRL.1
33679000.0,59.71,AXE
6294000.0,0.0031,JACO
136609000.0,84.39,J
56093000.0,88.1,EME
12535000.0,13.3,SRL
2655056000.0,139.28,JNJ
898069000.0,41.31,JCI
161620000.0,118.2,KLAC
,17.01,KLMR
109236000.0,0.3,SHLDQ
2263743000.0,20.88,KMI
2026000.0,133.13,PNRG
27941000.0,63.69,KAMN
9683000.0,33.0,KCLI
100587000.0,121.82,KSU
244098000.0,60.15,EVRG
18615000.0,0.4155,TCOR
340497000.0,53.57,K
35440000.0,26.19,KELYA
3432000.0,25.4868,KELYB
775000.0,0.03,KENS
82390000.0,36.99,KMT
2747000.0,19.14,KEQU
10760000.0,4.98,KTCC
36471000.0,17.43,KBAL
,,7240B
343795000.0,133.28,KMB
59901000.0,79.0,KEX
972252000.0,24.132,KMTUY
7405000.0,2.0,KOSS
798799000.0,21.71,KR
1232557000.0,83.21,KUBTY
65020000.0,22.55,KLIC
377619000.0,65.296,KYOCY
25938000.0,3.65,LYTS
28770000.0,3.9,LXU
46824000.0,30.66,LZB
50746000.0,83.92,SR
149927000.0,187.84,LRCX
27505000.0,148.6,LANC
2769000.0,0.31,LANZ
7849000.0,0.006,PCGR
10840000.0,0.05,LMTI
197000.0,1.25,3LTHM
8969000.0,36.73,DSGR
57723000.0,2.24,LEE
4135000.0,0.006,LPHM.1
